Movie Title,Release Date,ID,Adult,Status,Hashtag,Homepage,Popularity,Video,Poster,Backdrop,Genres,Overview,Original Language
Mark Felt: The Man Who Brought Down the White House,2017-09-29,390061,False,Post Production,MarkFelt,http://markfeltmovie.com/,50.0624,YouTube c34BtMNwTzE,https://image.tmdb.org/t/p/original/ggwsRh4p75jLMuc6gY12f9VXxwl.jpg,https://image.tmdb.org/t/p/original/de77GoUjgMDq5X8CoO4OwBEc74g.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]","The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1974.",en
'Til Death Do Us Part,2017-09-29,467192,False,Released,TilDeathDoUsPart,http://www.footage-films.com,40.032469,YouTube hXOQ1n0WCMY,https://image.tmdb.org/t/p/original/pfCAFkZV39l1TnNazAmmLgWu4c1.jpg,,"[{""id"": 53, ""name"": ""Thriller""}]","Michael and Madison Roland had planned to spend the rest of their lives together, until one day Michael's controlling ways turned their perfect marriage. With the help of her best friend, Madison decides to get away. After adopting a new identity, she meets Alex Stone and learns to love again. All is well, until Michael discovers Madison's whereabouts, and recreate the nightmare she once lived all over again.",en
Different Flowers,2017-09-29,442788,False,Released,DifferentFlowers,http://www.differentflowersmovie.com,34.093319,YouTube zbG5L3PQOyc,https://image.tmdb.org/t/p/original/yX0Y0c1XMe8WlnRU7BHcCgnm10h.jpg,,"[{""id"": 35, ""name"": ""Comedy""}]","Shelley Long returns to the big screen in a soaring debut from writer-director Morgan Dameron.  Uptight Millie Haven (Emma Bell) has always followed the rules, but when she has doubts before her big Kansas City wedding, her attitude-prone little sister Emma (Hope Lauren), the least likely of heroes, comes to the rescue. They embark on a spontaneous roadtrip to their grandmother’s farm where, with the help of Grandma Mildred (Shelley Long), they rediscover their bond. They meet a local hunk with a heart of gold, and a host of only-in- the-Midwest characters as they pick up the pieces of Millie’s life. Though the road is rocky, ultimately Millie finds herself in the middle of nowhere.  Millie’s journey is for anyone who’s ever wondered, what if? Different Flowers takes you on the road trip of a lifetime, full of growth, discovery, and above all, sisterhood.",en
Stopping Traffic: The Movement to End Sex Trafficking,2017-09-29,471939,False,Released,StoppingTraffic,http://stoppingtrafficfilm.com,32.612111,YouTube xxhVlXAiDU4,https://image.tmdb.org/t/p/original/eagIE0AXl0O5OvdZJTnuBeMTThw.jpg,,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 80, ""name"": ""Crime""}]","With the instant reach of social media and explosion in cyber porn, a child sex slave can be purchased online and delivered to a customer more quickly than a pizza. Stopping Traffic: The Movement to End Sex Trafficking starts the conversation on a taboo topic – with raw images of life on the streets, heart-pounding rescues and gut-wrenching, personal stories – ultimately offering a story of hope and empowerment, with the goal of engaging others in launching a movement to end modern-day slavery. With 27 million victims, human trafficking is the 2nd largest criminal enterprise in the world. Not just a back-alley enterprise in underdeveloped regions, it’s also prevalent in the U.S. and industrial nations. Stopping Traffic takes an unflinching, first-hand look at this shadowy underworld, telling the shocking story through the eyes of survivors, veteran activists, front-line rescue organizations and celebrities who support the cause, including Dolph Lundgren and Jeannie Mai.",en
My Little Pony: The Movie,2017-10-05,335360,False,Released,MyLittlePony,http://www.mylittlepony.movie/,29.998896,YouTube kIv_ConaZ1c,https://image.tmdb.org/t/p/original/15WbvKx7B7FiLZheK49Xc05oRIX.jpg,https://image.tmdb.org/t/p/original/t9QTd0V3rbv6W25QbHJuC6zbIo1.jpg,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","A new dark force threatens Ponyville, and the Mane 6 – Twilight Sparkle, Applejack, Rainbow Dash, Pinkie Pie, Fluttershy and Rarity – embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship and save their home.",en
Thor: Ragnarok,2017-10-25,284053,False,Post Production,ThorRagnarok,https://marvel.com/movies/movie/222/thor_ragnarok,26.65495,YouTube v7MGUNV8MxU,https://image.tmdb.org/t/p/original/avy7IR8UMlIIyE2BPCI4plW4Csc.jpg,https://image.tmdb.org/t/p/original/5wNUJs23rT5rTBacNyf5h83AynM.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",en
Star Wars: The Last Jedi,2017-12-13,181808,False,Post Production,TheLastJedi,http://www.starwars.com,15.884453,YouTube GQQMLE4FuIQ,https://image.tmdb.org/t/p/original/1539H2E75rOC9HUA2kSOhDE4d2A.jpg,https://image.tmdb.org/t/p/original/c4Dw37VZjBmObmJw9bmt8IDwMZH.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Having taken her first steps into a larger world in ""Star Wars: The Force Awakens"", Rey continues her epic journey with Finn, Poe and Luke Skywalker in the next chapter of the Star Wars saga.",en
Justice League,2017-11-15,141052,False,Post Production,JusticeLeague,http://www.justiceleaguethemovie.com,14.56439,YouTube gglkYMGRYlE,https://image.tmdb.org/t/p/original/9rtrRGeRnL0JKtu9IMBWsmlmmZz.jpg,https://image.tmdb.org/t/p/original/o5T8rZxoWSBMYwjsUFUqTt6uMQB.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",en
The Carmilla Movie,2017-10-26,421131,False,Post Production,CarmillaMovie,http://carmillamovie.com,11.605131,YouTube xYNMUXcF3P8,https://image.tmdb.org/t/p/original/qSJkhjUq8IpHBUJ9azQPxkblftV.jpg,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]","It has been five years since Laura  and Carmilla vanquished the apocalypse and Carmilla became a bonafide mortal human. They have settled in to a cozy apartment in downtown Toronto; Laura continues to hone her journalism skills while Carmilla adjusts to a non-vampire lifestyle. Their domestic bliss is suddenly ruptured when Carmilla begins to show signs of “re-vamping” – from a fondness for bloody treats to accidental biting – while Laura has started having bizarre, ghostly dreams. The couple must now enlist their old friends from Silas University to uncover the unknown supernatural threat and save humanity – including Carmilla’s.",en
Daisy Winters,2017-10-06,476195,False,Released,DaisyWinters,https://daisywintersfilm.com,10.60388,YouTube pwxDGFVh_YE,https://image.tmdb.org/t/p/original/hSid5I9ai3XYzuRgmLPAhpw07bq.jpg,https://image.tmdb.org/t/p/original/65Y5wz1gmBwW4Ofa2fT2qqybYPU.jpg,"[{""id"": 18, ""name"": ""Drama""}]","An eleven year-old girl's unconventional yet deeply loving relationship with her mother is harshly broken. Along her journey, including her quest to discover her father, she learns how to embrace every moment with determination and unrelenting self-confidence.",en
